id,index,model,peel,OSG_start,OSG_end,OSG_runtime
42-platoons-2,42,platoons,2,2024-11-05T00:38:26Z,2024-11-05T00:39:49Z,1.38333333333333
43-Sablefish2015-2,43,Sablefish2015,2,2024-11-05T00:38:33Z,2024-11-05T01:12:31Z,33.9666666666667
44-Simple-2,44,Simple,2,2024-11-05T00:38:27Z,2024-11-05T00:39:25Z,0.966666666666667
45-Simple_Lorenzen_tv_trend-2,45,Simple_Lorenzen_tv_trend,2,2024-11-05T00:38:29Z,2024-11-05T00:39:49Z,1.33333333333333
46-Simple_NoCPUE-2,46,Simple_NoCPUE,2,2024-11-05T00:38:28Z,2024-11-05T00:39:25Z,0.95
47-Simple_with_Discard-2,47,Simple_with_Discard,2,2024-11-05T00:38:30Z,2024-11-05T00:39:46Z,1.26666666666667
48-Simple_with_DM_sizefreq-2,48,Simple_with_DM_sizefreq,2,2024-11-05T00:38:20Z,2024-11-05T00:42:16Z,3.93333333333333
49-Spinydogfish_2011-2,49,Spinydogfish_2011,2,2024-11-05T00:38:18Z,2024-11-05T00:41:40Z,3.36666666666667
50-tagging_mirrored_sel-2,50,tagging_mirrored_sel,2,2024-11-05T00:38:19Z,2024-11-05T00:39:59Z,1.66666666666667
51-three_area_nomove-2,51,three_area_nomove,2,2024-11-05T00:38:19Z,2024-11-05T00:40:03Z,1.73333333333333
52-two_morph_seas_areas-2,52,two_morph_seas_areas,2,2024-11-05T00:38:18Z,2024-11-05T00:40:32Z,2.23333333333333
53-vermillion_snapper-2,53,vermillion_snapper,2,2024-11-05T00:38:22Z,2024-11-05T00:40:07Z,1.75
54-vermillion_snapper_F4-2,54,vermillion_snapper_F4,2,2024-11-05T00:38:19Z,2024-11-05T00:39:43Z,1.4
55-BigSkate_2019-3,55,BigSkate_2019,3,2024-11-05T00:38:18Z,2024-11-05T00:40:12Z,1.9
56-Empirical_Wtatage_Age_Selex-3,56,Empirical_Wtatage_Age_Selex,3,2024-11-05T00:38:18Z,2024-11-05T00:38:51Z,0.55
57-growth_timevary-3,57,growth_timevary,3,2024-11-05T00:39:50Z,2024-11-05T00:40:17Z,0.45
58-Hake_2018-3,58,Hake_2018,3,2024-11-05T00:38:23Z,2024-11-05T00:38:49Z,0.433333333333333
59-Hake_2019_semi_parametric_selex-3,59,Hake_2019_semi_parametric_selex,3,2024-11-05T00:41:26Z,2024-11-05T00:42:23Z,0.95
60-platoons-3,60,platoons,3,2024-11-05T00:39:06Z,2024-11-05T00:41:27Z,2.35
61-Sablefish2015-3,61,Sablefish2015,3,2024-11-05T00:38:53Z,2024-11-05T00:53:13Z,14.3333333333333
62-Simple-3,62,Simple,3,2024-11-05T00:38:29Z,2024-11-05T00:40:09Z,1.66666666666667
63-Simple_Lorenzen_tv_trend-3,63,Simple_Lorenzen_tv_trend,3,2024-11-05T00:38:27Z,2024-11-05T00:40:15Z,1.8
64-Simple_NoCPUE-3,64,Simple_NoCPUE,3,2024-11-05T00:39:23Z,2024-11-05T00:40:04Z,0.683333333333333
65-Simple_with_Discard-3,65,Simple_with_Discard,3,2024-11-05T00:38:53Z,2024-11-05T00:40:20Z,1.45
66-Simple_with_DM_sizefreq-3,66,Simple_with_DM_sizefreq,3,2024-11-05T00:39:25Z,2024-11-05T00:44:40Z,5.25
67-Spinydogfish_2011-3,67,Spinydogfish_2011,3,2024-11-05T00:38:30Z,2024-11-05T00:43:50Z,5.33333333333333
68-tagging_mirrored_sel-3,68,tagging_mirrored_sel,3,2024-11-05T00:38:37Z,2024-11-05T00:39:43Z,1.1
69-three_area_nomove-3,69,three_area_nomove,3,2024-11-05T00:38:42Z,2024-11-05T00:41:51Z,3.15
70-two_morph_seas_areas-3,70,two_morph_seas_areas,3,2024-11-05T00:38:44Z,2024-11-05T00:41:25Z,2.68333333333333
71-vermillion_snapper-3,71,vermillion_snapper,3,2024-11-05T00:38:56Z,2024-11-05T00:41:29Z,2.55
72-vermillion_snapper_F4-3,72,vermillion_snapper_F4,3,2024-11-05T00:39:26Z,2024-11-05T00:40:34Z,1.13333333333333
73-BigSkate_2019-4,73,BigSkate_2019,4,2024-11-05T00:39:01Z,2024-11-05T00:41:26Z,2.41666666666667
74-Empirical_Wtatage_Age_Selex-4,74,Empirical_Wtatage_Age_Selex,4,2024-11-05T00:38:42Z,2024-11-05T00:39:40Z,0.966666666666667
75-growth_timevary-4,75,growth_timevary,4,2024-11-05T00:38:29Z,2024-11-05T00:38:55Z,0.433333333333333
76-Hake_2018-4,76,Hake_2018,4,2024-11-05T00:38:26Z,2024-11-05T00:38:54Z,0.466666666666667
77-Hake_2019_semi_parametric_selex-4,77,Hake_2019_semi_parametric_selex,4,2024-11-05T00:38:43Z,2024-11-05T00:39:33Z,0.833333333333333
78-platoons-4,78,platoons,4,2024-11-05T00:38:45Z,2024-11-05T00:41:22Z,2.61666666666667
79-Sablefish2015-4,79,Sablefish2015,4,2024-11-05T00:38:41Z,2024-11-05T01:02:07Z,23.4333333333333
80-Simple-4,80,Simple,4,2024-11-05T00:38:30Z,2024-11-05T00:39:15Z,0.75
